,ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음,등록번호,선거여론조사기관,조사의뢰자,조사방법new,표본추출틀,표본크기,응답률new,접촉률,표본오차,공표일시
39,40,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10134&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11%,ARSRDD,46.8,46.4,-,-,2.3,9088,"미디어리서치,",방송사 : OBS,"[['무선 ARS', '100%']]",['RDD'],1000,11%,20.9%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 11시 30분
								"
40,41,2022-02-28 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10134&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,11%,ARSRDD,45,44.9,5.1,1.5,1.6,9088,"미디어리서치,",방송사 : OBS,"[['무선 ARS', '100%']]",['RDD'],1000,11%,20.9%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 11시 30분
								"
41,42,2022-02-28 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10132&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,9.3%,ARSRDD,43.2,46.5,4.5,2.1,0.8,9086,"(주)아시아리서치앤컨설팅,",전국단위 신문 : 자유일보,"[['무선 ARS', '100%']]",['RDD'],1002,9.3%,26.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-01 21시 00분
								"
42,43,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,31.8,-,44.4,3.7,18.8,9083,"칸타코리아(칸타퍼블릭),",전국단위 신문 : 서울경제,"[['유선전화면접', '10.9%'], ['무선전화면접', '89.1%']]","['RDD', 'RDD']",1028,12.5%,26.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-01 17시 00분
								"
43,44,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,38.3,49,-,3,8.9,9083,"칸타코리아(칸타퍼블릭),",전국단위 신문 : 서울경제,"[['유선전화면접', '10.9%'], ['무선전화면접', '89.1%']]","['RDD', 'RDD']",1028,12.5%,26.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-01 17시 00분
								"
44,45,2022-02-27 ~ 2022-03-01,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10127&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.5%,전화면접RDD,34.1,44.1,7.8,2,10.2,9083,"칸타코리아(칸타퍼블릭),",전국단위 신문 : 서울경제,"[['유선전화면접', '10.9%'], ['무선전화면접', '89.1%']]","['RDD', 'RDD']",1028,12.5%,26.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-01 17시 00분
								"
45,46,2022-02-25 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10123&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4%,ARSRDD,41.5,46.8,6.2,2.8,1,9079,"미디어리얼리서치코리아,",시·도단위 신문 : 경인매일,"[['무선 ARS', '100%']]",['RDD'],1000,4%,16.5%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-01 11시 30분
								"
46,47,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,40,-,34.4,11.1,11,9076,"(주)에이스리서치,",기타 : 대한민국지방신문협의회,"[['무선 ARS', '100%']]",['통신사제공'],1004,7.2%,47.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 00시 00분
								"
47,48,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,46.1,47.5,-,2.1,2.3,9076,"(주)에이스리서치,",기타 : 대한민국지방신문협의회,"[['무선 ARS', '100%']]",['통신사제공'],1004,7.2%,47.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 00시 00분
								"
48,49,2022-02-27 ~ 2022-02-28,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10119&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7.2%,ARS가상번호,43.7,44.6,7.4,1.9,1.8,9076,"(주)에이스리서치,",기타 : 대한민국지방신문협의회,"[['무선 ARS', '100%']]",['통신사제공'],1004,7.2%,47.2%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-02 00시 00분
								"
